indu,size,risk,credlim,n,wotot,wotot_mr,expneed,exprev,cum_n,cum_wotot,cum_wotot_mr,cum_expneed,cum_exprev,over_n,over_wotot,over_wotot_mr,over_expneed,over_exprev
N1,S0,H,1,39,437.9167256,262.7500354,14579,145.79,39,437.9167256,262.7500354,14579,145.79,126,42290.30815,25374.18489,1407917,14079.17
N1,S0,H,2,14,615.6486184,369.3891711,20496,204.96,53,1053.565344,632.1392064,35075,350.75,87,41852.39143,25111.43486,1393338,13933.38
N1,S0,H,3,11,812.6345493,487.5807296,27054,270.54,64,1866.199893,1119.719936,62129,621.29,73,41236.74281,24742.04569,1372842,13728.42
N1,S0,H,4,13,1502.686058,901.6116345,50027,500.27,77,3368.885951,2021.331571,112156,1121.56,62,40424.10826,24254.46496,1345788,13457.88
N1,S0,H,7,12,2005.093298,1203.055979,66753,667.53,89,5373.979249,3224.387549,178909,1789.09,49,38921.4222,23352.85332,1295761,12957.61
N1,S0,H,10,10,2443.100136,1465.860081,81335,813.35,99,7817.079384,4690.247631,260244,2602.44,37,36916.32891,22149.79734,1229008,12290.08
N1,S0,H,20,18,7851.472323,4710.883394,261389,2613.89,117,15668.55171,9401.131024,521633,5216.33,27,34473.22877,20683.93726,1147673,11476.73
N1,S0,H,50,4,3916.800005,2350.080003,130397,1303.97,121,19585.35171,11751.21103,652030,6520.3,9,26621.75645,15973.05387,886284,8862.84
N1,S0,H,100,2,4713.694904,2828.216942,156927,1569.27,123,24299.04662,14579.42797,808957,8089.57,5,22704.95644,13622.97387,755887,7558.87
N1,S0,H,200,2,8706.399673,5223.839804,289851,2898.51,125,33005.44629,19803.26777,1098808,10988.08,3,17991.26154,10794.75692,598960,5989.6
N1,S0,H,500,1,9284.861866,5570.917119,309109,3091.09,126,42290.30815,25374.18489,1407917,14079.17,1,9284.861866,5570.917119,309109,3091.09
N1,S0,M,1,94,446.7802602,268.0681561,34878,348.78,94,446.7802602,268.0681561,34878,348.78,299,38296.01634,22977.6098,2989587,29895.87
N1,S0,M,2,40,783.3321776,469.9993066,61151,611.51,134,1230.112438,738.0674627,96029,960.29,205,37849.23608,22709.54165,2954709,29547.09
N1,S0,M,3,27,865.7888705,519.4733223,67588,675.88,161,2095.901308,1257.540785,163617,1636.17,165,37065.9039,22239.54234,2893558,28935.58
N1,S0,M,4,25,1182.255019,709.3530114,92293,922.93,186,3278.156327,1966.893796,255910,2559.1,138,36200.11503,21720.06902,2825970,28259.7
N1,S0,M,7,26,1957.158347,1174.295008,152786,1527.86,212,5235.314675,3141.188805,408696,4086.96,113,35017.86001,21010.71601,2733677,27336.77
N1,S0,M,10,20,2123.634529,1274.180717,165782,1657.82,232,7358.949204,4415.369522,574478,5744.78,87,33060.70166,19836.421,2580891,25808.91
