AUTO CREDIT LIMITS
indu,size,risk,credlim,n,wotot,wotot_mr,expneed,exprev,cum_n,cum_wotot,cum_wotot_mr,cum_expneed,cum_exprev,over_n,over_wotot,over_wotot_mr,over_expneed,over_exprev,Type
N1,S0,H,1,39,437.9167256,262.7500354,14579.0,145.79,39,437.9167256,262.7500354,14579.0,145.79,126,42290.30815,25374.18489,1407917.0,14079.17,Excluded
N1,S0,L,20,14,245.5958498,147.3575099,209575.0,2095.75,125,555.3495505,333.2097303,473898.0,4738.98,29,1079.863536,647.9181214,921483.0,9214.83,Optimum
N1,S0,M,20,35,6356.45413,3813.872478,496218.0,4962.18,267,13715.40333,8229.242,1070696.0,10706.96,67,30937.06713,18562.24028,2415109.0,24151.09,Optimum
N1,S1,H,1,54,522.3821782,313.4293069,17391.0,173.91,54,522.3821782,313.4293069,17391.0,173.91,147,21391.2363,12834.74178,712151.0,7121.51,Excluded
N1,S1,L,20,23,344.4377057,206.6626234,293920.0,2939.2,380,1182.403831,709.4422988,1008984.0,10089.84,35,1020.737719,612.4426315,871029.0,8710.29,Optimum
N1,S1,M,20,41,7275.27558,4365.165348,567946.0,5679.46,456,18031.07673,10818.64604,1407600.0,14076.0,81,33139.82781,19883.89668,2587068.0,25870.68,Optimum
N1,S2,H,1,34,386.1621116,231.6972669,12856.0,192.84,34,386.1621116,231.6972669,12856.0,192.84,80,9395.550057,5637.330034,312794.0,4691.91,Excluded
N1,S2,L,50,26,910.7982003,546.4789202,777214.0,11658.21,656,3042.18463,1825.310778,2595996.0,38939.94,30,1247.514417,748.5086502,1064545.0,15968.175,Optimum
N1,S2,M,50,49,18098.14885,10858.88931,1412836.0,21192.54,886,58368.41181,35021.04709,4556543.0,68348.145,66,34656.82856,20794.09714,2705493.0,40582.395,Optimum
N1,S3,L,50,14,528.0073466,316.804408,450566.0,9011.32,297,1820.063587,1092.038152,1553120.0,31062.4,22,1218.444868,731.0669211,1039739.0,20794.78,Optimum
N1,S3,M,50,25,10677.55888,6406.535331,833546.0,16670.92,335,25940.9755,15564.5853,2025088.0,40501.76,37,24080.95388,14448.57233,1879885.0,37597.7,Optimum
N1,S4,L,50,33,1231.575736,738.9454414,1050944.0,26273.6,334,2723.743814,1634.246289,2324260.0,58106.5,40,2073.348113,1244.008868,1769256.0,44231.4,Optimum
N1,S4,M,50,36,14831.76473,8899.05884,1157845.0,28946.125,429,34340.02936,20604.01761,2680762.0,67019.05,66,55395.21843,33237.13106,4324440.0,108111.0,Optimum
N1,S5,L,50,4,169.6325232,101.7795139,144753.0,3618.825,82,570.2042469,342.1225481,486574.0,12164.35,11,1142.966698,685.780019,975331.0,24383.275,Optimum
N1,S5,M,50,9,2901.650639,1740.990383,226518.0,5662.95,104,8620.650612,5172.390367,672973.0,16824.325,14,6904.342155,4142.605293,538989.0,13474.725,Optimum
N1,S6,H,4,1,135.8896541,81.53379244,4524.0,113.1,3,201.071031,120.6426186,6694.0,167.35,3,32135.80056,19281.48034,1069856.0,26746.4,Optimum
N1,S6,L,100,3,246.1021001,147.6612601,210007.0,5250.175,121,1122.128405,673.2770428,957549.0,23938.725,4,371.021706,222.6130236,316605.0,7915.125,Optimum
N1,S6,M,100,11,9999.510466,5999.70628,780614.0,19515.35,312,35216.93714,21130.16228,2749218.0,68730.45,19,38161.53904,22896.92342,2979089.0,74477.225,Optimum
N2,S0,H,1,287,3549.861894,2129.917136,118181.0,1181.81,287,3549.861894,2129.917136,118181.0,1181.81,1210,570733.9338,342440.3603,19000713.0,190007.13,Excluded
